gene,score,rank
PSMC5,0.1119742635765293,1
CCT8,0.09604851205877482,2
PSMD2,0.09021758610964718,3
CCT7,0.08790307223312166,4
CCT6A,0.06635309884299588,5
TCP1,0.06372554185902239,6
PSMC2,0.06319276073098225,7
PSMD7,0.05613678167834295,8
CCT3,0.05261756952095764,9
EIF2S1,0.051807346066795726,10
HSP90AA1,0.04285290991505777,11
CCT2,0.04107407223008014,12
CCT5,0.03360354915946984,13
CCT4,0.03269316809817082,14
PSMD12,0.021305601114195924,15
EIF3B,0.014410803945216037,16
PSMD14,0.013047451321571688,17
HSPH1,0.007274968293898451,18
EIF3I,0.006982541497030486,19
PSMC1,0.006188945248955068,20
KPNB1,0.003694048517514363,21
PSMC4,0.002176478487103784,22
PSMD8,0.002143571601651044,23
EIF3F,0.0018040308153177294,24
PSMD3,0.0017150194472026737,25
FASN,0.0014891997539972788,26
DPYSL2,0.0013919838612225699,27
SH3GL2,0.0012661202344056363,28
PSMD13,0.001208540959980344,29
PGM1,0.001147782727744207,30
EIF3L,0.0010682914340560481,31
PYGM,0.0008667968299532413,32
EIF2S2,0.0007581367955816949,33
ACTR2,0.0007298857045364941,34
TWF2,0.0007252336746397254,35
RUVBL2,0.0007079530178688856,36
CNRIP1,0.0006670342244757,37
ATG7,0.0006281711505016113,38
EEF1D,0.0006205369570975427,39
WDR1,0.0005993665864257557,40
EIF3D,0.0005908705490006702,41
PSMC6,0.0005762506995068004,42
CORO1A,0.0005580683097707206,43
CAPZA2,0.0005547269445920511,44
PSMA6,0.0005080017768049499,45
MDH1,0.0005016034378059579,46
ARPC3,0.00048239136232625617,47
GPM6A,0.0004744518041476035,48
ANXA5,0.00040170130239333414,49
ANXA6,0.0003455230263943745,50
GDI1,0.00033950266317449816,51
PAICS,0.0003006793995273603,52
ARPC5,0.00029487326878111896,53
PSMB3,0.00029035348596734143,54
RAP1A,0.0002741666320117693,55
CACYBP,0.0002571261213451916,56
PDLIM5,0.0002528776290576032,57
PSMA4,0.0002457158532121781,58
PSMB2,0.0002421718745600793,59
QDPR,0.00022947212042008955,60
RUVBL1,0.0002219857054975649,61
SNX2,0.00021563384151232338,62
CLIC4,0.0002106135884675812,63
CFL2,0.0002020951330512433,64
CSRP1,0.00019717160570976658,65
WASF3,0.00018624243227289815,66
GMPS,0.0001820875207962148,67
SNX6,0.00018082313486998577,68
PRMT5,0.00015629764255996656,69
EIF3C,0.00015581499242146933,70
PSMD4,0.00015429907510729267,71
VPS13C,0.0001516687336190142,72
PLCB1,0.0001516687336190142,72
GIT2,0.0001482723897921988,74
ATP6V1B2,0.00014057253731745056,75
PSMB4,0.0001395612240993394,76
CSE1L,0.0001388834022195465,77
CAP2,0.00012408377628180358,78
EHD1,0.00012408377628180358,78
PSMB1,0.00012029005176659229,80
PRKACB,0.0001127571406505696,81
CNN3,0.00011121193046938976,82
ATP6V1E1,0.00011121193046938976,82
PSMB7,0.00011112743778058718,84
ATP6V1A,0.00011036941584462164,85
RANBP1,0.00010492706735851263,86
HNRNPL,0.00010374811154549564,87
ATP6V1H,9.431754292411774e-05,88
PSMA5,9.431754292411774e-05,88
PGAM1,8.245944990878304e-05,90
NEGR1,8.130991911762542e-05,91
COPS6,8.081903085001105e-05,92
HSPA12A,8.079074627818853e-05,93
GPD1L,7.657387909852115e-05,94
GNB4,7.539581942008234e-05,95
ATP6V1D,7.206445965165351e-05,96
ACACA,7.071746040582822e-05,97
SFPQ,6.903292218438442e-05,98
COPS5,6.819105727969681e-05,99
EIF4A3,6.819105727969681e-05,99
FKBP4,6.361522263569449e-05,101
PSMA7,6.007052527523162e-05,102
KCNAB2,5.534289904480088e-05,103
UBXN6,5.451778764474803e-05,104
RAB3GAP1,5.3854156728630247e-05,105
RPS5,5.2498610324572176e-05,106
CAP1,4.691015533018566e-05,107
ZYX,4.440889163473384e-05,108
PLP1,4.440111337748265e-05,109
PURA,4.035989293236265e-05,110
PTGES3,4.035989293236265e-05,110
MRPL15,3.903283111719898e-05,112
MAP1A,3.900772772976013e-05,113
ETFA,3.86895646817757e-05,114
ETFB,3.86895646817757e-05,114
PRKAR2B,3.8359851270350715e-05,116
MRPS31,3.8359851270350715e-05,116
MRPS9,3.8359851270350715e-05,116
ENO2,3.784848718869361e-05,119
EIF3A,3.7686871423502454e-05,120
COPS4,3.7686871423502454e-05,120
COPS3,3.7013891576654206e-05,122
IPO9,3.447407521305976e-05,123
PDIA4,3.3633244110302205e-05,124
STIP1,3.2792413007544655e-05,125
GNB1,3.2792413007544655e-05,125
MAP1B,2.706208418194417e-05,127
HSPA5,2.6233930406035725e-05,128
HIBADH,2.6233930406035725e-05,128
MDH2,2.6233930406035725e-05,128
CRIP2,2.5561265523829677e-05,131
CYFIP2,2.5561265523829677e-05,131
ELAVL1,2.5561265523829677e-05,131
AKAP12,2.470885947047077e-05,134
PPP1CB,2.4379829831100077e-05,135
CSDE1,2.2863904178178423e-05,136
COTL1,2.2863904178178423e-05,136
PLCL2,2.2863904178178423e-05,136
CALR,2.2863904178178423e-05,136
GRB2,2.2698462256541454e-05,140
CAPN2,2.2698462256541454e-05,140
PRUNE2,2.2191436408232e-05,142
PALM,2.2187547279606402e-05,143
CNTNAP1,2.2187547279606402e-05,143
PFDN2,2.1857778469262137e-05,145
PSMA1,2.151896863828557e-05,146
RAP1B,1.9330060129960123e-05,147
RPL3,1.8489622733005335e-05,148
HSPD1,1.8148125743213683e-05,149
LIN7A,1.713989653525737e-05,150
DPYSL3,1.6643577306174e-05,151
ATP6V1C1,1.6643577306174e-05,151
RGS14,1.6643577306174e-05,151
P4HB,1.6643577306174e-05,151
DNAJA1,1.6643577306174e-05,151
COPS8,1.6643577306174e-05,151
SYNCRIP,1.6643577306174e-05,151
MRPL12,1.6643577306174e-05,151
PRKAR2A,1.613922647871418e-05,159
COPS2,1.613922647871418e-05,159
PSMA3,1.563487565125436e-05,161
FUS,1.563487565125436e-05,161
MRPL37,1.563487565125436e-05,161
SNX1,1.5130524823794543e-05,164
GOT1,1.5130524823794543e-05,164
CAMK2G,1.4115208911388422e-05,166
STMN1,1.3446998351276608e-05,167
GNAI2,1.2935147091108366e-05,168
MPI,1.2602865099453947e-05,169
ACTN1,1.2095202474802629e-05,170
ACTR1A,1.2095202474802629e-05,170
ARHGAP1,1.0754444884867368e-05,172
RPN1,1.0754444884867368e-05,172
SOD1,1.0082292079563158e-05,174
RAP1GDS1,1.0082292079563158e-05,174
DNAJB4,1.0079335395668857e-05,176
CAB39,9.410139274258946e-06,177
DAG1,9.23939077936312e-06,178
VAT1,8.737986468954736e-06,179
ALDH9A1,8.737986468954736e-06,179
ATP2B4,8.737986468954736e-06,179
GART,8.399446163057378e-06,182
MAP2K1,8.399446163057378e-06,182
APPL1,8.229042614615887e-06,184
PIP4K2A,7.5617190596723686e-06,185
LMAN1,7.5617190596723686e-06,185
SH3BGRL3,7.057604455694211e-06,187
ALDOA,7.057604455694211e-06,187
PGK1,7.057604455694211e-06,187
PHYHIPL,7.057604455694211e-06,187
GNB2,7.057604455694211e-06,187
TPM1,6.719556930445905e-06,192
CANX,6.719556930445905e-06,192
NPTN,6.553489851716052e-06,194
COPB1,6.0476012374013145e-06,195
PPA2,5.3756455443567236e-06,196
PRDX3,5.3756455443567236e-06,196
ABCE1,4.535700928050986e-06,198
SORBS1,4.535700928050986e-06,198
MAPRE3,4.535700928050986e-06,198
SGTB,4.535700928050986e-06,198
AP1M1,4.535700928050986e-06,198
XPO1,4.535700928050986e-06,198
IDH3G,4.535700928050986e-06,198
IMPDH2,4.198491129906064e-06,205
VCAN,4.198491129906064e-06,205
SNPH,4.198491129906064e-06,205
NUDC,4.031734158267542e-06,208
ACTN2,4.031734158267542e-06,208
VPS11,4.031734158267542e-06,208
MAP1LC3A,4.031734158267542e-06,208
SHMT2,4.031734158267542e-06,208
PRKAR1A,4.031734158267542e-06,208
NCAM1,4.031734158267542e-06,208
ELMO2,3.5277673884841e-06,215
DTNA,3.5277673884841e-06,215
DBNL,2.6878227721783618e-06,217
ACTR1B,2.6878227721783618e-06,217
DCTN4,2.6878227721783618e-06,217
SMAP2,2.6878227721783618e-06,217
USO1,2.6878227721783618e-06,217
RRBP1,2.6878227721783618e-06,217
RAB3GAP2,2.6878227721783618e-06,217
EPB41L3,2.6870343231398815e-06,224
ATP2B2,2.6870343231398815e-06,224
MTHFD1L,2.3518449256560667e-06,226
LDHA,2.3518449256560667e-06,226
ARF4,2.3518449256560667e-06,226
PFDN6,2.3518449256560667e-06,226
RPS28,2.3518449256560667e-06,226
ARL8A,2.0158670791337712e-06,231
ATL1,2.0158670791337712e-06,231
CNTN1,2.0158670791337712e-06,231
ERP44,2.0158670791337712e-06,231
EEF2,1.5114568067661835e-06,235
ADD1,1.5114568067661835e-06,235
PSMD6,1.5114568067661835e-06,235
ITSN1,1.5114568067661835e-06,235
AP2B1,1.5114568067661835e-06,235
AP2A2,1.5114568067661835e-06,235
GAP43,1.5114568067661835e-06,235
GLRX3,1.5114568067661835e-06,235
VPS18,1.5114568067661835e-06,235
MTHFD1,6.717585807849704e-07,244
ADRM1,6.717585807849704e-07,244
ACAD8,6.717585807849704e-07,244
FLII,6.717585807849704e-07,244
CAMK1,6.717585807849704e-07,244
TOLLIP,6.717585807849704e-07,244
DCTN6,6.717585807849704e-07,244
MAPK1,6.717585807849704e-07,244
CNDP2,6.717585807849704e-07,244
RGS10,6.717585807849704e-07,244
HPCAL1,6.717585807849704e-07,244
CORO1B,6.717585807849704e-07,244
EPS15,6.717585807849704e-07,244
ANP32E,6.717585807849704e-07,244
AP2A1,6.717585807849704e-07,244
RAB8A,6.717585807849704e-07,244
RTN1,6.717585807849704e-07,244
CDK14,6.717585807849704e-07,244
ATP1A3,6.717585807849704e-07,244
NTM,6.717585807849704e-07,244
ATP1A1,6.717585807849704e-07,244
CTNNB1,6.717585807849704e-07,244
SLC25A3,6.717585807849704e-07,244
IPO7,6.717585807849704e-07,244
RAN,6.717585807849704e-07,244
STRAP,6.717585807849704e-07,244
PSME2,6.717585807849704e-07,244
SERPINB1,6.717585807849704e-07,244
SUGT1,6.717585807849704e-07,244
TUBB,6.717585807849704e-07,244
EIF5,6.717585807849704e-07,244
EXOC5,6.717585807849704e-07,244
RAB35,6.717585807849704e-07,244
KPNA3,6.717585807849704e-07,244
TUBB2A,6.717585807849704e-07,244
NDEL1,6.717585807849704e-07,244
TOM1L2,6.717585807849704e-07,244
YWHAE,6.717585807849704e-07,244
PPM1E,6.717585807849704e-07,244
RAB5C,6.717585807849704e-07,244
VPS50,6.717585807849704e-07,244
ABHD12,1.679396451962426e-07,285
APMAP,1.679396451962426e-07,285
CSNK2A1,1.679396451962426e-07,285
GSPT1,1.679396451962426e-07,285
AUH,1.679396451962426e-07,285
CPT2,1.679396451962426e-07,285
ACTN4,1.679396451962426e-07,285
FLNA,1.679396451962426e-07,285
KALRN,1.679396451962426e-07,285
PIP4K2B,1.679396451962426e-07,285
PITPNA,1.679396451962426e-07,285
PPP6R2,1.679396451962426e-07,285
ACTR10,1.679396451962426e-07,285
SETD7,1.679396451962426e-07,285
SPATA2L,1.679396451962426e-07,285
TCP11L1,1.679396451962426e-07,285
ARHGDIA,1.679396451962426e-07,285
RABGGTA,1.679396451962426e-07,285
YWHAB,1.679396451962426e-07,285
OTUB1,1.679396451962426e-07,285
CRKL,1.679396451962426e-07,285
HSPA2,1.679396451962426e-07,285
AIMP1,1.679396451962426e-07,285
AIP,1.679396451962426e-07,285
GSTP1,1.679396451962426e-07,285
LRP1,1.679396451962426e-07,285
UCHL1,1.679396451962426e-07,285
AKR1A1,1.679396451962426e-07,285
ALDH18A1,1.679396451962426e-07,285
ALDH5A1,1.679396451962426e-07,285
HNRNPLL,1.679396451962426e-07,285
MAP2K2,1.679396451962426e-07,285
WDFY1,1.679396451962426e-07,285
AP2S1,1.679396451962426e-07,285
FMNL1,1.679396451962426e-07,285
SACM1L,1.679396451962426e-07,285
AP3D1,1.679396451962426e-07,285
AP3S1,1.679396451962426e-07,285
APBB1,1.679396451962426e-07,285
PRKAR1B,1.679396451962426e-07,285
GPC4,1.679396451962426e-07,285
ARFGAP3,1.679396451962426e-07,285
ARFGEF3,1.679396451962426e-07,285
CADPS2,1.679396451962426e-07,285
TMOD2,1.679396451962426e-07,285
ARRB1,1.679396451962426e-07,285
DCLK2,1.679396451962426e-07,285
SNX5,1.679396451962426e-07,285
ATP1B1,1.679396451962426e-07,285
CTNND1,1.679396451962426e-07,285
CD47,1.679396451962426e-07,285
CORO2B,1.679396451962426e-07,285
VDAC1,1.679396451962426e-07,285
RAB11FIP5,1.679396451962426e-07,285
PPP1R12B,1.679396451962426e-07,285
ATP6V0C,1.679396451962426e-07,285
ATP6V0D1,1.679396451962426e-07,285
ATXN10,1.679396451962426e-07,285
BRK1,1.679396451962426e-07,285
TRAPPC6B,1.679396451962426e-07,285
C1QBP,1.679396451962426e-07,285
YWHAH,1.679396451962426e-07,285
TOMM34,1.679396451962426e-07,285
PAK2,1.679396451962426e-07,285
ERP29,1.679396451962426e-07,285
SRR,1.679396451962426e-07,285
CLPTM1,1.679396451962426e-07,285
FAF2,1.679396451962426e-07,285
TECR,1.679396451962426e-07,285
SCRN1,1.679396451962426e-07,285
PSMB5,1.679396451962426e-07,285
DIAPH1,1.679396451962426e-07,285
CEP170B,1.679396451962426e-07,285
TANC2,1.679396451962426e-07,285
CIAPIN1,1.679396451962426e-07,285
PPA1,1.679396451962426e-07,285
RAB5B,1.679396451962426e-07,285
RAB21,1.679396451962426e-07,285
TNC,1.679396451962426e-07,285
CRYZ,1.679396451962426e-07,285
EIF4G2,1.679396451962426e-07,285
CSTB,1.679396451962426e-07,285
SYNJ1,1.679396451962426e-07,285
DNM1L,1.679396451962426e-07,285
USP5,1.679396451962426e-07,285
DPYSL5,1.679396451962426e-07,285
FSD1,1.679396451962426e-07,285
SNTA1,1.679396451962426e-07,285
HNRNPA3,1.679396451962426e-07,285
VPS16,1.679396451962426e-07,285
EXOC7,1.679396451962426e-07,285
EXOC8,1.679396451962426e-07,285
FGB,1.679396451962426e-07,285
FGG,1.679396451962426e-07,285
GCLM,1.679396451962426e-07,285
TKT,1.679396451962426e-07,285
IPO5,1.679396451962426e-07,285
IST1,1.679396451962426e-07,285
VAC14,1.679396451962426e-07,285
NAE1,1.679396451962426e-07,285
UBA3,1.679396451962426e-07,285
NAPG,1.679396451962426e-07,285
VAPA,1.679396451962426e-07,285
NCDN,1.679396451962426e-07,285
TOM1,1.679396451962426e-07,285
PAFAH1B1,1.679396451962426e-07,285
YWHAQ,1.679396451962426e-07,285
PAK1,1.679396451962426e-07,285
PPME1,1.679396451962426e-07,285
PHGDH,1.679396451962426e-07,285
TRIM2,1.679396451962426e-07,285
PI4KA,1.679396451962426e-07,285
PPP1R9A,1.679396451962426e-07,285
STXBP1,1.679396451962426e-07,285
WFS1,1.679396451962426e-07,285
STK32C,1.679396451962426e-07,285
TRAPPC9,1.679396451962426e-07,285
PPP5C,1.679396451962426e-07,285
UBE2M,1.679396451962426e-07,285
PRUNE1,1.679396451962426e-07,285
TIPRL,1.679396451962426e-07,285
RPS15,1.679396451962426e-07,285
RAB5A,1.679396451962426e-07,285
RAB3B,1.679396451962426e-07,285
SNAP25,1.679396451962426e-07,285
SH3GL1,1.679396451962426e-07,285
SLK,1.679396451962426e-07,285
SNX4,1.679396451962426e-07,285
SNX7,1.679396451962426e-07,285
TIMM10,1.679396451962426e-07,285
TIMM9,1.679396451962426e-07,285
TRAPPC10,1.679396451962426e-07,285
WDR7,1.679396451962426e-07,285
UBQLN1,1.679396451962426e-07,285
UBQLN2,1.679396451962426e-07,285
VPS26A,1.679396451962426e-07,285
VPS35,1.679396451962426e-07,285
VPS52,1.679396451962426e-07,285
VPS53,1.679396451962426e-07,285
